iter	Passed	Remaining
682	1045	485
683	1048	484
684	1049	482
685	1051	481
686	1053	480
687	1055	478
688	1056	476
689	1057	475
690	1059	473
691	1060	471
692	1061	470
693	1063	468
694	1066	468
695	1068	466
696	1071	465
697	1072	464
698	1074	462
699	1075	461
700	1077	459
701	1078	457
702	1080	456
703	1081	454
704	1083	453
705	1084	451
706	1085	450
707	1087	448
708	1090	447
709	1092	446
710	1093	444
711	1095	442
712	1096	441
713	1097	439
714	1098	437
715	1099	436
716	1101	434
717	1102	432
718	1103	431
719	1104	429
720	1105	427
721	1107	426
722	1108	424
723	1109	423
724	1111	421
725	1112	419
726	1114	418
727	1115	416
728	1116	415
729	1117	413
730	1118	411
731	1120	410
732	1121	408
733	1122	406
734	1123	405
735	1125	403
736	1126	401
737	1127	400
738	1128	398
739	1129	397
740	1131	395
741	1132	393
742	1134	392
743	1136	390
744	1137	389
745	1138	387
746	1139	386
747	1140	384
748	1142	382
749	1143	381
750	1144	379
751	1145	377
752	1146	376
753	1148	374
754	1150	373
755	1151	371
756	1153	370
757	1154	368
758	1155	366
759	1157	365
760	1158	363
761	1159	362
762	1160	360
763	1162	358
764	1163	357
765	1164	355
766	1165	354
767	1166	352
768	1168	350
769	1169	349
770	1170	347
771	1171	346
772	1173	344
773	1174	342
774	1175	341
775	1176	339
776	1178	338
777	1179	336
778	1180	335
779	1182	333
780	1183	331
781	1184	330
782	1185	328
783	1186	327
784	1188	325
785	1189	323
786	1190	322
787	1191	320
788	1193	319
789	1194	317
790	1195	315
791	1196	314
792	1198	312
793	1199	311
794	1201	309
795	1203	308
796	1204	306
797	1205	305
798	1207	303
799	1208	302
800	1209	300
801	1210	298
802	1212	297
803	1213	295
804	1214	294
805	1215	292
806	1216	291
807	1218	289
808	1219	287
809	1220	286
810	1222	284
811	1223	283
812	1224	281
813	1226	280
814	1227	278
815	1228	277
816	1229	275
817	1231	273
818	1232	272
819	1233	270
820	1234	269
821	1235	267
822	1237	266
823	1238	264
824	1239	262
825	1240	261
826	1242	259
827	1243	258
828	1245	256
829	1246	255
830	1247	253
831	1249	252
832	1250	250
833	1251	249
834	1252	247
835	1253	245
836	1254	244
837	1256	242
838	1257	241
839	1258	239
840	1259	238
841	1261	236
842	1262	235
843	1264	233
844	1265	232
845	1266	230
846	1268	229
847	1269	227
848	1270	225
849	1271	224
850	1272	222
851	1274	221
852	1275	219
853	1276	218
854	1278	216
855	1279	215
856	1281	213
857	1282	212
858	1283	210
859	1284	209
860	1286	207
861	1288	206
862	1289	204
863	1290	203
864	1291	201
865	1292	200
866	1294	198
867	1295	196
868	1296	195
869	1297	193
870	1299	192
871	1300	190
872	1301	189
873	1302	187
874	1303	186
875	1305	184
876	1306	183
877	1308	181
878	1309	180
879	1310	178
880	1311	177
881	1313	175
882	1314	174
883	1315	172
884	1316	171
885	1318	169
886	1319	168
887	1320	166
888	1321	165
889	1322	163
890	1324	161
891	1325	160
892	1326	158
893	1327	157
894	1329	155
895	1330	154
896	1332	152
897	1333	151
898	1334	149
899	1335	148
900	1337	146
901	1338	145
902	1339	143
903	1340	142
904	1341	140
905	1343	139
906	1344	137
907	1345	136
908	1346	134
909	1348	133
910	1349	131
911	1350	130
912	1352	128
913	1354	127
914	1355	125
915	1356	124
916	1357	122
917	1358	121
918	1360	119
919	1361	118
920	1362	116
921	1363	115
922	1364	113
923	1365	112
924	1367	110
925	1368	109
926	1369	107
927	1370	106
928	1372	104
929	1373	103
930	1375	101
931	1376	100
932	1377	98
933	1379	97
934	1380	95
935	1381	94
936	1382	92
937	1383	91
938	1385	89
939	1386	88
940	1387	86
941	1388	85
942	1389	84
943	1391	82
944	1392	81
945	1393	79
946	1394	78
947	1396	76
948	1397	75
949	1399	73
950	1400	72
951	1401	70
952	1402	69
953	1404	67
954	1405	66
955	1406	64
956	1407	63
957	1409	61
958	1410	60
959	1411	58
960	1413	57
961	1414	55
962	1415	54
963	1417	52
964	1418	51
965	1419	49
966	1421	48
967	1422	47
968	1423	45
969	1424	44
970	1425	42
971	1427	41
972	1428	39
973	1429	38
974	1430	36
975	1432	35
976	1433	33
977	1434	32
978	1435	30
979	1436	29
980	1437	27
981	1440	26
982	1441	24
983	1443	23
984	1444	21
985	1445	20
986	1446	19
987	1448	17
988	1449	16
989	1450	14
990	1451	13
991	1453	11
992	1454	10
993	1455	8
994	1456	7
995	1458	5
996	1459	4
997	1460	2
998	1462	1
999	1463	0
